IATA_CODE,AIRPORT,CITY
AZA,Phoenix-Mesa Gateway Airport,
BKG,Branson Airport,
ABE,Lehigh Valley International Airport,Allentown
ABI,Abilene Regional Airport,Abilene
ABQ,Albuquerque International Sunport,Albuquerque
ABR,Aberdeen Regional Airport,Aberdeen
ABY,Southwest Georgia Regional Airport,Albany
ACK,Nantucket Memorial Airport,Nantucket
ACT,Waco Regional Airport,Waco
ACV,Arcata Airport,Arcata/Eureka
ACY,Atlantic City International Airport,Atlantic City
ADK,Adak Airport,Adak
ADQ,Kodiak Airport,Kodiak
AEX,Alexandria International Airport,Alexandria
AGS,Augusta Regional AirportÂ (Bush Field),Augusta
AKN,King Salmon Airport,King Salmon
ALB,Albany International Airport,Albany
ALO,Waterloo Regional Airport,Waterloo
AMA,Rick Husband Amarillo International Airport,Amarillo
ANC,Ted Stevens Anchorage International Airport,Anchorage
APN,Alpena County Regional Airport,Alpena
ASE,Aspen-Pitkin County Airport,Aspen
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta
ATW,Appleton International Airport,Appleton
AUS,Austin-Bergstrom International Airport,Austin
AVL,Asheville Regional Airport,Asheville
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo
BDL,Bradley International Airport,Windsor Locks
BET,Bethel Airport,Bethel
BFL,Meadows Field,Bakersfield
BGM,Greater Binghamton Airport,Binghamton
BGR,Bangor International Airport,Bangor
BHM,Birmingham-Shuttlesworth International Airport,Birmingham
BIL,Billings Logan International Airport,Billings
BIS,Bismarck Municipal Airport,Bismarck
BJI,Bemidji Regional Airport,Bemidji
BLI,Bellingham International Airport,Bellingham
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington
BNA,Nashville International Airport,Nashville
BOI,Boise AirportÂ (Boise Air Terminal),Boise
BOS,Gen. Edward Lawrence Logan International Airport,Boston
BPT,Jack Brooks Regional AirportÂ (Southeast Texas Regional),Beaumont/Port Arthur
BQK,Brunswick Golden Isles Airport,Brunswick
BQN,Rafael HernÃ¡ndez Airport,Aguadilla
BRD,Brainerd Lakes Regional Airport,Brainerd
BRO,Brownsville/South Padre Island International Airport,Brownsville
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow
BTM,Bert Mooney Airport,Butte
BTR,Baton Rouge Metropolitan Airport,Baton Rouge
BTV,Burlington International Airport,Burlington
BUF,Buffalo Niagara International Airport,Buffalo
BUR,Bob Hope AirportÂ (Hollywood Burbank Airport),Burbank
BWI,Baltimore-Washington International Airport,Baltimore
BZN,Bozeman Yellowstone International AirportÂ (Gallatin Field Airport),Bozeman
CAE,Columbia Metropolitan Airport,Columbia
CAK,Akron-Canton Regional Airport,Akron
CDC,Cedar City Regional Airport,Cedar City
CDV,Merle K. (Mudhole) Smith Airport,Cordova
