@relation 'flight_data_new-weka.filters.unsupervised.attribute.Remove-R9-10,12-32,34-42-weka.filters.unsupervised.attribute.NumericToNominal-R8-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1'

@attribute DEP_DELAY numeric
@attribute TAXI_OUT numeric
@attribute TAXI_IN numeric
@attribute ACTUAL_ELAPSED_TIME numeric
@attribute DISTANCE numeric
@attribute WHEELS_OFF_elapse numeric
@attribute WHEELS_ON_elapse numeric
@attribute FLIGHT_STATUS {0,1}
@attribute OP_CARRIER_Delta_Airlines numeric
@attribute MONTH_Nov numeric

@data
-1,22,7,270,2116,22,7,0,1,0
-4,11,5,130,746,11,5,0,0,0
2,19,7,129,762,19,7,0,1,0
-10,31,6,138,606,31,6,0,1,0
7,9,5,108,594,9,5,0,1,0
-6,15,11,82,366,15,11,0,1,0
-4,13,5,121,692,13,5,0,1,1
-1,11,7,139,907,11,7,0,1,0
-4,13,12,98,515,13,12,0,1,0
0,11,5,70,352,11,5,0,1,0
1,9,10,277,2172,9,10,0,1,0
-5,12,5,67,300,12,5,0,0,0
-8,14,4,69,271,14,4,0,1,1
-7,16,4,55,151,16,4,0,1,0
7,19,8,100,432,19,8,0,1,0
-3,19,9,122,821,19,9,0,1,0
-3,14,5,83,404,14,5,0,0,0
-6,10,5,77,453,10,5,0,1,0
10,17,7,271,2139,17,7,0,1,0
-4,11,7,138,907,11,7,0,0,0
1,14,5,90,432,14,5,0,1,0
-8,29,8,87,259,29,8,0,1,1
0,21,10,84,321,21,10,0,1,1
-9,25,8,106,442,25,8,0,1,0
-7,15,6,164,1199,15,6,0,1,0
-7,16,3,91,404,16,3,0,1,0
-7,20,7,61,143,20,7,0,0,1
-5,22,10,114,589,22,10,0,0,0
-2,7,24,96,425,7,24,0,0,0
-3,14,10,138,666,14,10,0,0,0
11,17,4,107,581,17,4,0,1,0
-8,17,9,64,153,17,9,0,1,0
-8,20,6,514,4502,20,6,0,1,0
-3,24,8,74,259,24,8,0,1,0
-2,24,7,102,563,24,7,0,0,0
-4,14,18,145,594,14,18,0,0,0
-2,11,9,110,594,11,9,0,0,0
20,16,7,82,356,16,7,0,1,0
-4,15,8,83,425,15,8,0,1,0
-7,12,4,111,761,12,4,0,1,0
-9,14,10,73,270,14,10,0,1,0
-1,33,8,100,404,33,8,0,1,0
2,13,9,245,1947,13,9,0,1,1
-1,14,13,90,331,14,13,0,0,0
-6,12,9,127,813,12,9,0,1,0
0,20,4,103,547,20,4,0,0,0
-5,18,9,77,332,18,9,0,1,0
0,14,11,73,302,14,11,0,0,0
11,14,4,63,270,14,4,0,1,0
-6,15,8,142,666,15,8,0,0,0
-5,19,6,100,534,19,6,0,1,0
11,13,9,211,1587,13,9,0,1,0
-2,9,8,110,594,9,8,0,1,1
-1,9,7,111,712,9,7,0,1,0
-3,14,8,92,534,14,8,0,1,0
9,40,6,162,760,40,6,0,1,1
-10,13,10,94,500,13,10,0,0,1
-2,12,10,125,689,12,10,0,1,0
-4,11,12,122,731,11,12,0,1,0
-7,11,12,104,581,11,12,0,0,0
-8,10,17,91,432,10,17,0,1,0
-3,18,7,132,762,18,7,0,0,0
6,16,9,108,581,16,9,0,0,0
-8,27,11,90,300,27,11,0,0,0
-10,13,5,57,145,13,5,0,0,0
-5,18,6,117,577,18,6,0,1,1
2,13,10,114,689,13,10,0,0,0
-9,15,10,85,304,15,10,0,0,0
-4,10,6,58,270,10,6,0,1,0
-6,19,7,284,2172,19,7,0,1,0
-9,30,11,88,214,30,11,0,1,0
-6,32,7,66,83,32,7,0,0,0
-6,16,14,76,227,16,14,0,1,0
-5,18,6,129,566,18,6,0,0,0
7,25,5,131,746,25,5,0,1,0
0,16,12,71,250,16,12,0,1,0
-2,15,5,296,2182,15,5,0,1,0
-7,19,7,101,399,19,7,0,0,0
8,16,4,93,447,16,4,0,0,0
14,10,3,107,721,10,3,0,0,0
-7,13,11,60,152,13,11,0,0,0
-3,8,5,105,577,8,5,0,0,0
-1,9,11,138,874,9,11,0,0,0
-7,23,11,117,547,23,11,0,1,0
-1,13,22,235,1747,13,22,0,0,0
5,15,7,99,432,15,7,0,0,0
15,15,8,166,946,15,8,0,1,1
-5,11,6,72,306,11,6,0,1,1
-5,12,13,89,453,12,13,0,1,0
7,31,6,152,907,31,6,0,1,0
-6,21,13,94,356,21,13,0,0,0
-1,15,9,101,534,15,9,0,1,0
-6,14,4,50,151,14,4,0,1,0
-7,21,8,97,377,21,8,0,0,0
-5,13,10,119,731,13,10,0,0,0
-8,16,6,79,357,16,6,0,0,0
-6,22,9,120,547,22,9,0,1,0
-5,11,6,134,765,11,6,0,1,0
-2,14,7,80,406,14,7,0,1,0
-2,10,7,104,481,10,7,0,0,0
-8,22,9,58,106,22,9,0,0,0
-6,16,10,111,606,16,10,0,1,0
0,10,12,62,214,10,12,0,1,0
0,10,12,102,591,10,12,0,0,0
3,10,9,206,1587,10,9,0,0,0
